movie,theatre,timeUnit,startTimeDate,endTimeDate,Pre_Show_Advertising,Trailers,Post_Clean_Time,Runtime
Paw Patrol,Auditorium 3,26,2021-08-29 18:00:00,2021-08-29 19:26:00,30,20,15,86
Paw Patrol,Auditorium 4,14,2021-08-29 15:00:00,2021-08-29 16:26:00,30,20,15,86
Paw Patrol,Auditorium 4,35,2021-08-29 20:15:00,2021-08-29 21:41:00,30,20,15,86
Paw Patrol,Auditorium 1,13,2021-08-29 14:45:00,2021-08-29 16:11:00,30,20,15,86
Paw Patrol,Auditorium 1,23,2021-08-29 17:15:00,2021-08-29 18:41:00,30,20,15,86
Paw Patrol,Auditorium 7,36,2021-08-29 20:30:00,2021-08-29 21:56:00,30,20,15,86
Paw Patrol,Auditorium 6,15,2021-08-29 15:15:00,2021-08-29 16:41:00,30,20,15,86
Paw Patrol,Auditorium 8,25,2021-08-29 17:45:00,2021-08-29 19:11:00,30,20,15,86
Paw Patrol,Auditorium 2,0,2021-08-29 11:30:00,2021-08-29 12:56:00,30,20,15,86
Paw Patrol,Auditorium 5,1,2021-08-29 11:45:00,2021-08-29 13:11:00,30,20,15,86
The Suicide Squad,Auditorium 10,36,2021-08-29 20:30:00,2021-08-29 22:42:00,30,20,15,132
The Suicide Squad,Auditorium 1,0,2021-08-29 11:30:00,2021-08-29 13:42:00,30,20,15,132
The Suicide Squad,Auditorium 5,11,2021-08-29 14:15:00,2021-08-29 16:27:00,30,20,15,132
Don’t Breathe 2,Auditorium 3,0,2021-08-29 11:30:00,2021-08-29 13:09:00,30,20,15,99
Don’t Breathe 2,Auditorium 9,36,2021-08-29 20:30:00,2021-08-29 22:09:00,30,20,15,99
Don’t Breathe 2,Auditorium 10,25,2021-08-29 17:45:00,2021-08-29 19:24:00,30,20,15,99
Don’t Breathe 2,Auditorium 7,13,2021-08-29 14:45:00,2021-08-29 16:24:00,30,20,15,99
Candyman,Auditorium 9,0,2021-08-29 11:30:00,2021-08-29 13:01:00,30,20,15,91
Candyman,Auditorium 4,24,2021-08-29 17:30:00,2021-08-29 19:01:00,30,20,15,91
Candyman,Auditorium 6,4,2021-08-29 12:30:00,2021-08-29 14:01:00,30,20,15,91
Candyman,Auditorium 6,25,2021-08-29 17:45:00,2021-08-29 19:16:00,30,20,15,91
Candyman,Auditorium 8,14,2021-08-29 15:00:00,2021-08-29 16:31:00,30,20,15,91
Candyman,Auditorium 5,36,2021-08-29 20:30:00,2021-08-29 22:01:00,30,20,15,91
Jungle Cruise,Auditorium 9,23,2021-08-29 17:15:00,2021-08-29 19:22:00,30,20,15,127
Jungle Cruise,Auditorium 10,0,2021-08-29 11:30:00,2021-08-29 13:37:00,30,20,15,127
Jungle Cruise,Auditorium 1,33,2021-08-29 19:45:00,2021-08-29 21:52:00,30,20,15,127
Jungle Cruise,Auditorium 2,34,2021-08-29 20:00:00,2021-08-29 22:07:00,30,20,15,127
Free Guy,Auditorium 9,11,2021-08-29 14:15:00,2021-08-29 16:10:00,30,20,15,115
Free Guy,Auditorium 10,13,2021-08-29 14:45:00,2021-08-29 16:40:00,30,20,15,115
Free Guy,Auditorium 5,24,2021-08-29 17:30:00,2021-08-29 19:25:00,30,20,15,115
Respect,Auditorium 3,11,2021-08-29 14:15:00,2021-08-29 16:40:00,30,20,15,145
Respect,Auditorium 4,0,2021-08-29 11:30:00,2021-08-29 13:55:00,30,20,15,145
Respect,Auditorium 8,36,2021-08-29 20:30:00,2021-08-29 22:55:00,30,20,15,145
Reminiscence,Auditorium 2,22,2021-08-29 17:00:00,2021-08-29 18:56:00,30,20,15,116
The Night House,Auditorium 3,36,2021-08-29 20:30:00,2021-08-29 22:17:00,30,20,15,107
The Night House,Auditorium 7,0,2021-08-29 11:30:00,2021-08-29 13:17:00,30,20,15,107
The Night House,Auditorium 8,2,2021-08-29 12:00:00,2021-08-29 13:47:00,30,20,15,107
The Protege,Auditorium 7,24,2021-08-29 17:30:00,2021-08-29 19:19:00,30,20,15,109
The Protege,Auditorium 6,36,2021-08-29 20:30:00,2021-08-29 22:19:00,30,20,15,109
The Protege,Auditorium 2,10,2021-08-29 14:00:00,2021-08-29 15:49:00,30,20,15,109
